
Date,Start Time,End Time,Journey/Action,Charge,Credit,Balance,Note
14-Sep-2014,18:00,18:43,"Waterloo (platforms 12-19) [National Rail] to Richmond",.00,,2.95,""
14-Sep-2014,13:20,14:00,"Richmond to Covent Garden",.00,,2.95,""
14-Sep-2014,13:19,,"Season ticket bought",.00,,2.95,""
13-Sep-2014,19:11,19:43,"Waterloo (platforms 12-19) [National Rail] to Richmond",.00,,2.95,""
13-Sep-2014,13:15,14:02,"Richmond to Bermondsey",.00,,2.95,""
10-Sep-2014,17:09,17:48,"Canary Wharf [London Underground] to Richmond",.00,,2.95,""
10-Sep-2014,07:33,08:12,"Richmond to Canary Wharf [London Underground]",.00,,2.95,""
09-Sep-2014,17:18,17:53,"Canary Wharf [London Underground] to Richmond",.00,,2.95,""
09-Sep-2014,07:35,08:14,"Richmond to Canary Wharf [London Underground]",.00,,2.95,""
08-Sep-2014,16:43,17:23,"Canary Wharf [London Underground] to Richmond",.00,,2.95,""
08-Sep-2014,07:32,08:12,"Richmond to Canary Wharf [London Underground]",.00,,2.95,""
