
Date,Start Time,End Time,Journey/Action,Charge,Credit,Balance,Note
07-Sep-2014,18:19,19:01,"Waterloo (platforms 12-19) [National Rail] to Richmond",.00,,2.95,""
07-Sep-2014,17:34,,"Season ticket bought, Waterloo [London Underground / National Rail]",.00,,2.95,""
07-Sep-2014,17:09,17:34,"Liverpool Street [London Underground] to Waterloo [London Underground / National Rail]",.00,,2.95,""
05-Sep-2014,16:39,17:08,"Richmond to Bank",.00,,2.95,""
05-Sep-2014,16:33,16:37,"Entered and exited Richmond",.00,,2.95,""
04-Sep-2014,16:08,16:48,"Canary Wharf [London Underground] to Richmond",.00,,2.95,""
04-Sep-2014,07:36,08:12,"Richmond to Canary Wharf [London Underground]",.00,,2.95,""
03-Sep-2014,17:39,18:18,"Canary Wharf [London Underground] to Richmond",.00,,2.95,""
03-Sep-2014,07:38,08:21,"Richmond to Canary Wharf [London Underground]",.00,,2.95,""
02-Sep-2014,16:59,17:38,"Canary Wharf [London Underground] to Richmond",.00,,2.95,""
02-Sep-2014,07:40,08:19,"Richmond to Canary Wharf [London Underground]",.00,,2.95,""
01-Sep-2014,17:13,17:53,"Canary Wharf [London Underground] to Richmond",.00,,2.95,""
01-Sep-2014,07:37,08:12,"Richmond to Canary Wharf [London Underground]",.00,,2.95,""
01-Sep-2014,07:36,,"Season ticket bought",.00,,2.95,""
