
Date,Start Time,End Time,Journey/Action,Charge,Credit,Balance,Note
21-Sep-2014,12:39,,"Bus journey, route D3",.00,,2.95,""
21-Sep-2014,11:23,12:17,"Richmond to Canary Wharf [London Underground]",.00,,2.95,""
20-Sep-2014,21:01,21:35,"Waterloo (platforms 12-19) [National Rail] to Richmond",.00,,2.95,""
20-Sep-2014,17:18,17:30,"Kings Cross [London Underground / National Rail] to Leicester Square",.00,,2.95,""
20-Sep-2014,15:52,16:46,"Richmond to Kings Cross [London Underground / National Rail]",.00,,2.95,""
19-Sep-2014,23:35,00:15,"South Kensington to Richmond",.00,,2.95,""
19-Sep-2014,18:08,18:37,"Richmond to South Kensington",.00,,2.95,""
17-Sep-2014,21:49,22:29,"London Bridge [London Underground] to Richmond",.00,,2.95,""
17-Sep-2014,07:36,07:58,"Richmond to Waterloo (platforms 12-19) [National Rail]",.00,,2.95,""
16-Sep-2014,18:15,18:36,"Waterloo (platforms 12-19) [National Rail] to Richmond",.00,,2.95,""
16-Sep-2014,07:35,08:21,"Richmond to London Bridge [London Underground]",.00,,2.95,""
