
Date,Start Time,End Time,Journey/Action,Charge,Credit,Balance,Note
14-Dec-2014,20:46,,"Bus journey, route 391",.00,,2.00,""
14-Dec-2014,19:43,20:44,"High Street Kensington to Gunnersbury",.00,,11.20,""
14-Dec-2014,17:05,,"Bus journey, route 9",.00,,2.00,""
14-Dec-2014,13:56,14:33,"Richmond to Hyde Park Corner",.00,,11.20,""
13-Dec-2014,16:17,16:23,"Kew Gardens to Richmond",.00,,11.20,""
13-Dec-2014,13:51,13:58,"Richmond to Kew Gardens",.00,,11.20,""
12-Dec-2014,18:52,19:20,"Waterloo (platforms 12-19) [National Rail] to Richmond",.00,,11.20,""
12-Dec-2014,17:38,17:54,"Canary Wharf [London Underground] to Waterloo (Jubilee line entrance)",.00,,11.20,""
12-Dec-2014,07:33,08:19,"Richmond to Canary Wharf [London Underground]",.00,,11.20,""
11-Dec-2014,17:56,18:42,"Canary Wharf [London Underground] to Richmond",.00,,11.20,""
11-Dec-2014,07:26,08:09,"Richmond to Canary Wharf [London Underground]",.00,,11.20,""
10-Dec-2014,18:04,18:39,"Canary Wharf [London Underground] to Richmond",.00,,11.20,""
10-Dec-2014,07:27,08:24,"Richmond to Canary Wharf [London Underground]",.00,,11.20,""
09-Dec-2014,17:42,18:24,"Canary Wharf [London Underground] to Richmond",.00,,11.20,""
09-Dec-2014,07:33,08:19,"Richmond to Canary Wharf [London Underground]",.00,,11.20,""
09-Dec-2014,07:13,,"Season ticket bought",.00,,11.20,""
