
Date,Start Time,End Time,Journey/Action,Charge,Credit,Balance,Note
25-Oct-2015,10:55,11:50,"Whitechapel to Richmond",.00,,1.10,""
24-Oct-2015,13:07,14:05,"Richmond to Whitechapel",.00,,1.10,""
23-Oct-2015,15:33,16:02,"South Kensington to Richmond",.00,,1.10,""
23-Oct-2015,10:32,11:02,"Bank to South Kensington",.00,,1.10,""
23-Oct-2015,09:12,09:27,"Whitechapel to Bank",.00,,1.10,""
22-Oct-2015,20:39,20:57,"Canary Wharf [London Underground] to Whitechapel",.00,,1.10,""
22-Oct-2015,16:32,16:57,"South Kensington to Canary Wharf [London Underground]",.00,,1.10,""
22-Oct-2015,12:10,12:39,"Richmond to South Kensington",.00,,1.10,""
21-Oct-2015,20:26,20:36,"Clapham Junction [National Rail] to Richmond",.00,,1.10,""
21-Oct-2015,18:25,18:41,"Richmond to Clapham Junction [National Rail]",.00,,1.10,""
21-Oct-2015,13:48,14:31,"South Kensington to Richmond",.00,,1.10,""
21-Oct-2015,10:16,10:52,"Richmond to South Kensington",.00,,1.10,""
20-Oct-2015,19:56,20:29,"South Kensington to Richmond",.00,,1.10,""
20-Oct-2015,12:33,12:59,"Richmond to South Kensington",.00,,1.10,""
19-Oct-2015,14:28,15:01,"South Kensington to Richmond",.00,,1.10,""
19-Oct-2015,08:19,09:11,"Richmond to South Kensington",.00,,1.10,""
19-Oct-2015,08:17,,"Season ticket bought",.00,,1.10,""
