
Date,Start Time,End Time,Journey/Action,Charge,Credit,Balance,Note
25-Jan-2015,16:07,16:31,"Waterloo (platforms 12-19) [National Rail] to Richmond",.00,,6.60,""
25-Jan-2015,13:34,13:56,"Richmond to Waterloo (platforms 12-19) [National Rail]",.00,,6.60,""
23-Jan-2015,17:36,18:23,"Canary Wharf [London Underground] to Richmond",.00,,6.60,""
23-Jan-2015,07:18,08:06,"Richmond to Canary Wharf [London Underground]",.00,,6.60,""
22-Jan-2015,21:12,21:40,"Waterloo (platforms 12-19) [National Rail] to Richmond",.00,,6.60,""
22-Jan-2015,17:17,17:44,"Canary Wharf [London Underground] to Warren Street",.00,,6.60,""
22-Jan-2015,07:18,08:02,"Richmond to Canary Wharf [London Underground]",.00,,6.60,""
21-Jan-2015,17:37,18:20,"Canary Wharf [London Underground] to Richmond",.00,,6.60,""
21-Jan-2015,07:24,08:09,"Richmond to Canary Wharf [London Underground]",.00,,6.60,""
20-Jan-2015,17:24,18:28,"Canary Wharf [London Underground] to Richmond",.00,,6.60,""
20-Jan-2015,07:18,08:08,"Richmond to Canary Wharf [London Underground]",.00,,6.60,""
19-Jan-2015,17:35,18:21,"Canary Wharf [London Underground] to Richmond",.00,,6.60,""
19-Jan-2015,07:17,08:11,"Richmond to Canary Wharf [London Underground]",.00,,6.60,""
19-Jan-2015,07:17,,"Season ticket bought",.00,,6.60,""
