
Date,Start Time,End Time,Journey/Action,Charge,Credit,Balance,Note
02-Aug-2015,16:32,17:32,"Whitechapel to Richmond",.00,,6.30,""
01-Aug-2015,13:25,14:27,"Richmond to Whitechapel",.00,,6.30,""
30-Jul-2015,16:24,17:14,"Aldgate East to Richmond",.00,,6.30,""
30-Jul-2015,07:12,08:20,"Richmond to Aldgate East",.00,,6.30,""
29-Jul-2015,20:24,20:48,"Waterloo (platforms 12-19) [National Rail] to Richmond",.00,,6.30,""
29-Jul-2015,17:02,17:25,"Aldgate East to Goodge Street",.00,,6.30,""
29-Jul-2015,07:09,08:19,"Richmond to Aldgate East",.00,,6.30,""
28-Jul-2015,19:55,,"Bus journey, route 33",.00,,6.30,""
28-Jul-2015,18:39,18:56,"Richmond to Barnes [National Rail]",.00,,6.30,""
28-Jul-2015,13:06,13:49,"Canary Wharf [London Underground] to Richmond",.00,,6.30,""
28-Jul-2015,07:09,08:24,"Richmond to Canary Wharf [London Underground]",.00,,6.30,""
27-Jul-2015,16:58,18:11,"Aldgate East to Richmond",.00,,6.30,""
27-Jul-2015,07:10,08:18,"Richmond to Aldgate East",.00,,6.30,""
27-Jul-2015,07:10,,"Season ticket bought",.00,,6.30,""
