
Date,Start Time,End Time,Journey/Action,Charge,Credit,Balance,Note
16-Aug-2015,13:29,14:27,"Richmond to Whitechapel",2.80,,6.20,""
15-Aug-2015,11:19,12:13,"Whitechapel to Richmond",2.80,,9.00,""
14-Aug-2015,16:10,17:14,"Richmond to Whitechapel",3.90,,11.80,""
11-Aug-2015,15:16,16:18,"Aldgate East to Richmond",2.80,,15.70,""
11-Aug-2015,07:12,08:18,"Richmond to Aldgate East",3.90,,18.50,""
11-Aug-2015,07:12,,"Topped up,  ",,20.00,22.40,""
10-Aug-2015,08:08,09:07,"Whitechapel to Richmond",3.90,,2.40,""
