
Date,Start Time,End Time,Journey/Action,Charge,Credit,Balance,Note
26-Jun-2015,23:13,00:01,"Kentish Town West to Richmond",.00,,6.30,""
26-Jun-2015,16:57,17:43,"Richmond to Kentish Town West",.00,,6.30,""
25-Jun-2015,17:18,18:19,"Aldgate East to Richmond",.00,,6.30,""
25-Jun-2015,07:32,08:30,"Richmond to Aldgate East",.00,,6.30,""
24-Jun-2015,17:07,18:02,"Aldgate East to Richmond",.00,,6.30,""
24-Jun-2015,07:33,08:42,"Richmond to Aldgate East",.00,,6.30,""
23-Jun-2015,16:37,17:32,"Aldgate East to Richmond",.00,,6.30,""
23-Jun-2015,07:12,08:20,"Richmond to Aldgate East",.00,,6.30,""
22-Jun-2015,17:05,18:02,"Aldgate East to Richmond",.00,,6.30,""
22-Jun-2015,07:11,08:21,"Richmond to Aldgate East",.00,,6.30,""
22-Jun-2015,07:11,,"Season ticket bought",.00,,6.30,""
