
Date,Start Time,End Time,Journey/Action,Charge,Credit,Balance,Note
13-Feb-2015,21:43,22:12,"South Kensington to Richmond",.00,,5.10,""
13-Feb-2015,18:18,18:47,"Canary Wharf [London Underground] to South Kensington",.00,,5.10,""
13-Feb-2015,07:14,08:03,"Richmond to Canary Wharf [London Underground]",.00,,5.10,""
12-Feb-2015,17:47,18:36,"Canary Wharf [London Underground] to Richmond",.00,,5.10,""
12-Feb-2015,07:04,07:52,"Richmond to Canary Wharf [London Underground]",.00,,5.10,""
11-Feb-2015,21:44,22:20,"Canary Wharf [London Underground] to Richmond",.00,,5.10,""
11-Feb-2015,07:14,08:06,"Richmond to Canary Wharf [London Underground]",.00,,5.10,""
10-Feb-2015,17:39,18:22,"Canary Wharf [London Underground] to Richmond",.00,,5.10,""
10-Feb-2015,07:15,08:04,"Richmond to Canary Wharf [London Underground]",.00,,5.10,""
09-Feb-2015,17:25,18:08,"Canary Wharf [London Underground] to Richmond",.00,,5.10,""
09-Feb-2015,07:14,08:11,"Richmond to Canary Wharf [London Underground]",.00,,5.10,""
09-Feb-2015,07:13,,"Season ticket bought",.00,,5.10,""
