
Date,Start Time,End Time,Journey/Action,Charge,Credit,Balance,Note
10-May-2015,18:12,18:41,"Waterloo (platforms 12-19) [National Rail] to Richmond",.00,,7.00,""
10-May-2015,11:58,12:37,"Richmond to Charing Cross [London Underground]",.00,,7.00,""
08-May-2015,21:38,22:06,"Waterloo (platforms 12-19) [National Rail] to Richmond",.00,,7.00,""
08-May-2015,17:32,17:56,"Aldgate East to Goodge Street",.00,,7.00,""
08-May-2015,07:32,08:42,"Richmond to Aldgate East",.00,,7.00,""
07-May-2015,17:38,18:35,"Aldgate East to Richmond",.00,,7.00,""
07-May-2015,07:26,08:41,"Richmond to Aldgate East",.00,,7.00,""
06-May-2015,19:06,19:48,"Tottenham Court Road to Richmond",.00,,7.00,""
06-May-2015,16:53,17:17,"Canary Wharf [London Underground] to Goodge Street",.00,,7.00,""
06-May-2015,13:02,13:30,"Aldgate East to Canary Wharf DLR",.00,,7.00,""
06-May-2015,07:11,08:19,"Richmond to Aldgate East",.00,,7.00,""
05-May-2015,18:12,19:17,"Aldgate East to Richmond",.00,,7.00,""
05-May-2015,07:13,08:19,"Richmond to Aldgate East",.00,,7.00,""
05-May-2015,07:12,,"Season ticket bought",.00,,7.00,""
04-May-2015,21:23,22:10,"Piccadilly Circus to Richmond",4.20,,7.00,""
04-May-2015,19:06,19:51,"Richmond to Piccadilly Circus",2.80,,11.20,""
