
Date,Start Time,End Time,Journey/Action,Charge,Credit,Balance,Note
04-Dec-2015,22:13,22:41,"Waterloo (platforms 12-19) [National Rail] to Richmond",.00,,2.90,""
04-Dec-2015,18:47,19:19,"Richmond to Tottenham Court Road",.00,,2.90,""
04-Dec-2015,13:36,14:03,"South Kensington to Richmond",.00,,2.90,""
04-Dec-2015,09:23,09:56,"Richmond to South Kensington",.00,,2.90,""
03-Dec-2015,19:58,20:25,"South Kensington to Richmond",.00,,2.90,""
03-Dec-2015,09:17,09:40,"Aldgate East to South Kensington",.00,,2.90,""
02-Dec-2015,21:18,21:35,"Bank to Whitechapel",.00,,2.90,""
02-Dec-2015,18:27,19:01,"Richmond to Bank",.00,,2.90,""
02-Dec-2015,13:50,14:24,"South Kensington to Richmond",.00,,2.90,""
02-Dec-2015,10:20,10:50,"Richmond to South Kensington",.00,,2.90,""
01-Dec-2015,19:40,20:13,"South Kensington to Richmond",.00,,2.90,""
01-Dec-2015,12:35,13:10,"Richmond to South Kensington",.00,,2.90,""
01-Dec-2015,12:35,,"Season ticket bought",.00,,2.90,""
