
Date,Start Time,End Time,Journey/Action,Charge,Credit,Balance,Note
18-Oct-2015,12:04,13:07,"Whitechapel to Richmond",.00,,1.10,""
17-Oct-2015,01:07,,"Bus journey, route N25",.00,,1.10,""
17-Oct-2015,20:08,20:32,"Whitechapel to Leicester Square",.00,,1.10,""
17-Oct-2015,17:06,17:25,"London Bridge [London Underground] to Whitechapel",.00,,1.10,""
17-Oct-2015,14:57,15:02,"Piccadilly Circus to Embankment",.00,,1.10,""
17-Oct-2015,12:39,13:28,"Richmond to Green Park",.00,,1.10,""
16-Oct-2015,22:00,22:25,"Stamford Brook to Richmond",.00,,1.10,""
16-Oct-2015,18:57,19:21,"Richmond to Hammersmith (District, Piccadilly lines)",.00,,1.10,""
16-Oct-2015,14:42,15:13,"South Kensington to Richmond",.00,,1.10,""
16-Oct-2015,10:28,10:59,"Richmond to South Kensington",.00,,1.10,""
14-Oct-2015,21:19,21:59,"Kentish Town West to Richmond",.00,,1.10,""
14-Oct-2015,16:49,17:30,"Richmond to Camden Road",.00,,1.10,""
14-Oct-2015,13:42,14:13,"South Kensington to Richmond",.00,,1.10,""
14-Oct-2015,10:29,10:59,"Richmond to South Kensington",.00,,1.10,""
13-Oct-2015,20:05,20:35,"South Kensington to Richmond",.00,,1.10,""
13-Oct-2015,12:37,13:08,"Richmond to South Kensington",.00,,1.10,""
12-Oct-2015,14:29,15:01,"South Kensington to Richmond",.00,,1.10,""
12-Oct-2015,14:28,,"Season ticket bought, South Kensington",.00,,1.10,""
12-Oct-2015,11:22,11:50,"Richmond to South Kensington",2.80,,1.10,""
