
Date,Start Time,End Time,Journey/Action,Charge,Credit,Balance,Note
27-Nov-2015,13:35,14:04,"South Kensington to Richmond",.00,,2.90,""
27-Nov-2015,10:42,11:07,"Richmond to South Kensington",.00,,2.90,""
26-Nov-2015,20:03,20:34,"South Kensington to Richmond",.00,,2.90,""
26-Nov-2015,09:56,10:31,"Richmond to South Kensington",.00,,2.90,""
25-Nov-2015,13:40,14:18,"South Kensington to Richmond",.00,,2.90,""
25-Nov-2015,10:30,11:02,"Richmond to South Kensington",.00,,2.90,""
24-Nov-2015,19:45,20:14,"South Kensington to Richmond",.00,,2.90,""
24-Nov-2015,12:22,12:49,"Richmond to South Kensington",.00,,2.90,""
23-Nov-2015,11:29,12:04,"South Kensington to Richmond",.00,,2.90,""
23-Nov-2015,08:16,08:49,"Richmond to South Kensington",.00,,2.90,""
23-Nov-2015,08:15,,"Season ticket bought",.00,,2.90,""
