
Date,Start Time,End Time,Journey/Action,Charge,Credit,Balance,Note
18-Jul-2015,19:57,20:29,"Waterloo (platforms 12-19) [National Rail] to Richmond",.00,,6.30,""
18-Jul-2015,16:31,16:53,"West Dulwich [National Rail] to Victoria [National Rail]",.00,,6.30,""
16-Jul-2015,17:01,18:03,"Aldgate East to Richmond",.00,,6.30,""
16-Jul-2015,07:12,08:20,"Richmond to Aldgate East",.00,,6.30,""
15-Jul-2015,,17:54,"[No touch-in] to Richmond",.00,,6.30,"We are not able to show where you touched in during this journey"
15-Jul-2015,07:13,08:21,"Richmond to Aldgate East",.00,,6.30,""
14-Jul-2015,19:55,20:13,"Barnes [National Rail] to Richmond",.00,,6.30,""
14-Jul-2015,18:42,18:59,"Richmond to Barnes [National Rail]",.00,,6.30,""
14-Jul-2015,17:05,18:02,"Aldgate East to Richmond",.00,,6.30,""
14-Jul-2015,09:52,10:15,"South Kensington to Aldgate East",.00,,6.30,""
14-Jul-2015,08:38,09:19,"Richmond to South Kensington",.00,,6.30,""
13-Jul-2015,16:56,17:57,"Aldgate East to Richmond",.00,,6.30,""
13-Jul-2015,07:10,08:24,"Richmond to Aldgate East",.00,,6.30,""
13-Jul-2015,07:09,,"Season ticket bought",.00,,6.30,""
