
Date,Start Time,End Time,Journey/Action,Charge,Credit,Balance,Note
01-Nov-2015,20:22,20:50,"Kings Cross (Met, Circle, H&C lines) to Whitechapel",.00,,1.10,""
31-Oct-2015,08:04,08:29,"Whitechapel to Kings Cross (Met, Circle, H&C lines)",.00,,1.10,""
30-Oct-2015,23:12,23:59,"New Beckenham [National Rail] to Whitechapel",.00,,1.10,""
30-Oct-2015,19:43,,"Bus journey, route 194",.00,,1.10,""
30-Oct-2015,19:03,19:29,"Whitechapel to Sydenham",.00,,1.10,""
30-Oct-2015,17:22,17:50,"South Kensington to Whitechapel",.00,,1.10,""
30-Oct-2015,10:37,11:10,"Richmond to South Kensington",.00,,1.10,""
29-Oct-2015,20:44,21:29,"Victoria [London Underground] to Richmond",.00,,1.10,""
29-Oct-2015,17:58,18:35,"Richmond to Victoria [London Underground]",.00,,1.10,""
28-Oct-2015,18:31,18:57,"South Kensington to Richmond",.00,,1.10,""
28-Oct-2015,09:27,09:56,"Richmond to South Kensington",.00,,1.10,""
27-Oct-2015,19:55,20:24,"South Kensington to Richmond",.00,,1.10,""
27-Oct-2015,11:41,12:11,"Richmond to South Kensington",.00,,1.10,""
26-Oct-2015,16:40,17:15,"South Kensington to Richmond",.00,,1.10,""
26-Oct-2015,11:11,11:38,"Richmond to South Kensington",.00,,1.10,""
26-Oct-2015,11:10,,"Season ticket bought",.00,,1.10,""
