
Date,Start Time,End Time,Journey/Action,Charge,Credit,Balance,Note
09-Aug-2015,17:26,18:25,"Richmond to Whitechapel",.00,,6.30,""
07-Aug-2015,21:38,22:08,"Leicester Square to Richmond",.00,,6.30,""
07-Aug-2015,15:34,16:16,"Richmond to Goodge Street",.00,,6.30,""
04-Aug-2015,19:54,,"Bus journey, route 337",.00,,6.30,""
04-Aug-2015,18:37,18:56,"Richmond to Barnes [National Rail]",.00,,6.30,""
03-Aug-2015,14:41,15:32,"Aldgate East to Richmond",.00,,6.30,""
03-Aug-2015,07:11,08:19,"Richmond to Aldgate East",.00,,6.30,""
03-Aug-2015,07:11,,"Season ticket bought",.00,,6.30,""
