
Date,Start Time,End Time,Journey/Action,Charge,Credit,Balance,Note
17-Apr-2015,17:53,18:51,"Aldgate East to Richmond",.00,,6.20,""
17-Apr-2015,07:10,08:19,"Richmond to Aldgate East",.00,,6.20,""
16-Apr-2015,07:12,08:22,"Richmond to Aldgate East",.00,,6.20,""
15-Apr-2015,21:04,21:37,"Waterloo (platforms 12-19) [National Rail] to Richmond",.00,,6.20,""
15-Apr-2015,18:09,18:34,"Aldgate East to Goodge Street",.00,,6.20,""
15-Apr-2015,07:11,08:19,"Richmond to Aldgate East",.00,,6.20,""
14-Apr-2015,07:12,08:33,"Richmond to Aldgate East",.00,,6.20,""
13-Apr-2015,18:03,19:03,"Aldgate East to Richmond",.00,,6.20,""
13-Apr-2015,07:11,08:24,"Richmond to Aldgate East",.00,,6.20,""
13-Apr-2015,07:10,,"Season ticket bought",.00,,6.20,""
