
Date,Start Time,End Time,Journey/Action,Charge,Credit,Balance,Note
14-Nov-2015,20:40,,"Bus journey, route 65",.00,,2.90,""
14-Nov-2015,18:24,,"Bus journey, route 391",.00,,2.90,""
14-Nov-2015,12:33,13:32,"Whitechapel to Richmond",.00,,2.90,""
13-Nov-2015,23:06,00:19,"New Beckenham [National Rail] to Whitechapel",.00,,2.90,""
13-Nov-2015,19:21,,"Bus journey, route 194",.00,,2.90,""
13-Nov-2015,17:32,18:32,"Richmond to Sydenham",.00,,2.90,""
13-Nov-2015,11:10,11:47,"Green Park to Richmond",.00,,2.90,""
13-Nov-2015,09:53,10:05,"St Paul's to Oxford Circus",.00,,2.90,""
12-Nov-2015,17:50,18:48,"Richmond to Whitechapel",.00,,2.90,""
11-Nov-2015,17:28,18:03,"South Kensington to Richmond",.00,,2.90,""
11-Nov-2015,15:17,15:26,"Green Park to South Kensington",.00,,2.90,""
11-Nov-2015,13:41,14:20,"Richmond to Piccadilly Circus",.00,,2.90,""
10-Nov-2015,19:54,20:20,"South Kensington to Richmond",.00,,2.90,""
10-Nov-2015,12:34,13:08,"Richmond to South Kensington",.00,,2.90,""
09-Nov-2015,14:30,15:04,"South Kensington to Richmond",.00,,2.90,""
09-Nov-2015,10:08,10:41,"Richmond to South Kensington",.00,,2.90,""
09-Nov-2015,10:07,,"Season ticket bought",.00,,2.90,""
