
Date,Start Time,End Time,Journey/Action,Charge,Credit,Balance,Note
04-Oct-2014,16:41,17:13,"Vauxhall [National Rail] to Richmond",.00,,11.20,""
04-Oct-2014,13:05,13:51,"Richmond to Pimlico",.00,,11.20,""
03-Oct-2014,22:53,23:33,"Ladbroke Grove to Richmond",.00,,11.20,""
03-Oct-2014,19:06,19:45,"Richmond to Ladbroke Grove",.00,,11.20,""
03-Oct-2014,,13:36,"[No touch-in] to Richmond",.00,,11.20,"We are not able to show where you touched in during this journey"
03-Oct-2014,12:54,13:08,"Canary Wharf [London Underground] to Waterloo (platforms 12-19) [National Rail]",.00,,11.20,""
03-Oct-2014,07:24,08:04,"Richmond to Canary Wharf [London Underground]",.00,,11.20,""
02-Oct-2014,17:15,17:53,"Canary Wharf [London Underground] to Richmond",.00,,11.20,""
02-Oct-2014,07:26,08:10,"Richmond to Canary Wharf [London Underground]",.00,,11.20,""
01-Oct-2014,20:16,20:16,"Entered and exited Waterloo (platforms 12-19) [National Rail]",.00,,11.20,""
01-Oct-2014,16:42,17:06,"Canary Wharf [London Underground] to Goodge Street",.00,,11.20,""
01-Oct-2014,07:19,08:07,"Richmond to Canary Wharf [London Underground]",.00,,11.20,""
01-Oct-2014,07:18,,"Season ticket bought",.00,,11.20,""
30-Sep-2014,16:15,16:53,"Canary Wharf [London Underground] to Richmond",.00,,11.20,""
30-Sep-2014,07:20,08:08,"Richmond to Canary Wharf [London Underground]",.00,,11.20,""
29-Sep-2014,18:17,18:56,"Canary Wharf [London Underground] to Richmond",.00,,11.20,""
29-Sep-2014,10:11,10:49,"Richmond to Canary Wharf [London Underground]",.00,,11.20,""
