
Date,Start Time,End Time,Journey/Action,Charge,Credit,Balance,Note
02-Apr-2015,18:05,18:49,"Canary Wharf [London Underground] to Richmond",.00,,5.10,""
02-Apr-2015,07:03,08:01,"Richmond to Canary Wharf [London Underground]",.00,,5.10,""
01-Apr-2015,07:14,08:18,"Richmond to Aldgate East",.00,,5.10,""
31-Mar-2015,17:53,18:58,"Aldgate East to Richmond",.00,,5.10,""
31-Mar-2015,,08:07,"[No touch-in] to Aldgate East",.00,,5.10,"We are not able to show where you touched in during this journey"
31-Mar-2015,07:17,07:46,"Richmond to Waterloo (platforms 12-19) [National Rail]",.00,,5.10,""
30-Mar-2015,18:00,19:02,"Aldgate East to Richmond",.00,,5.10,""
30-Mar-2015,07:16,08:19,"Richmond to Aldgate East",.00,,5.10,""
30-Mar-2015,07:15,,"Season ticket bought",.00,,5.10,""
