
Date,Start Time,End Time,Journey/Action,Charge,Credit,Balance,Note
06-Feb-2015,20:07,20:36,"Waterloo (platforms 12-19) [National Rail] to Richmond",.00,,5.10,""
06-Feb-2015,17:40,17:57,"Canary Wharf [London Underground] to Waterloo [London Underground / National Rail]",.00,,5.10,""
06-Feb-2015,07:16,08:07,"Richmond to Canary Wharf [London Underground]",.00,,5.10,""
05-Feb-2015,17:57,18:38,"Canary Wharf [London Underground] to Richmond",.00,,5.10,""
05-Feb-2015,07:16,08:10,"Richmond to Canary Wharf [London Underground]",.00,,5.10,""
04-Feb-2015,17:35,17:53,"Canary Wharf [London Underground] to [No touch-out]",.00,,5.10,"We are not able to show where you touched out during this journey"
04-Feb-2015,07:18,08:14,"Richmond to Canary Wharf [London Underground]",.00,,5.10,""
03-Feb-2015,17:30,18:06,"Canary Wharf [London Underground] to Richmond",.00,,5.10,""
03-Feb-2015,07:17,08:08,"Richmond to Canary Wharf [London Underground]",.00,,5.10,""
02-Feb-2015,17:39,18:26,"Canary Wharf [London Underground] to Richmond",.00,,5.10,""
02-Feb-2015,07:17,08:07,"Richmond to Canary Wharf [London Underground]",.00,,5.10,""
02-Feb-2015,07:17,,"Season ticket bought",.00,,5.10,""
