
Date,Start Time,End Time,Journey/Action,Charge,Credit,Balance,Note
23-Aug-2014,08:27,09:05,"Richmond to Kings Cross [London Underground / National Rail]",.00,,7.05,""
21-Aug-2014,13:27,14:10,"Canary Wharf [London Underground] to Richmond",.00,,7.05,""
21-Aug-2014,07:33,08:12,"Richmond to Canary Wharf [London Underground]",.00,,7.05,""
20-Aug-2014,22:17,22:36,"Waterloo (platforms 12-19) [National Rail] to Richmond",.00,,7.05,""
20-Aug-2014,18:12,18:42,"Canary Wharf [London Underground] to Warren Street",.00,,7.05,""
20-Aug-2014,07:33,08:14,"Richmond to Canary Wharf [London Underground]",.00,,7.05,""
19-Aug-2014,16:35,17:18,"Canary Wharf [London Underground] to Richmond",.00,,7.05,""
19-Aug-2014,07:36,08:12,"Richmond to Canary Wharf [London Underground]",.00,,7.05,""
18-Aug-2014,16:45,17:34,"Canary Wharf [London Underground] to Richmond",.00,,7.05,""
18-Aug-2014,07:30,08:17,"Richmond to Canary Wharf [London Underground]",.00,,7.05,""
18-Aug-2014,07:30,,"Season ticket bought",.00,,7.05,""
