
Date,Start Time,End Time,Journey/Action,Charge,Credit,Balance,Note
21-Mar-2015,22:35,23:50,"Angel to Richmond",.00,,5.10,""
21-Mar-2015,19:08,20:11,"Richmond to Angel",.00,,5.10,""
21-Mar-2015,15:42,16:25,"Kensington Olympia to Richmond",.00,,5.10,""
20-Mar-2015,07:20,08:18,"Richmond to Aldgate East",.00,,5.10,""
19-Mar-2015,07:16,08:27,"Richmond to Aldgate East",.00,,5.10,""
18-Mar-2015,18:13,19:16,"Aldgate East to Richmond",.00,,5.10,""
18-Mar-2015,07:23,08:20,"Richmond to Aldgate East",.00,,5.10,""
17-Mar-2015,18:03,19:02,"Aldgate East to Richmond",.00,,5.10,""
17-Mar-2015,07:43,08:42,"Richmond to Aldgate East",.00,,5.10,""
16-Mar-2015,17:33,18:33,"Aldgate East to Richmond",.00,,5.10,""
16-Mar-2015,09:57,10:18,"Canary Wharf [London Underground] to Aldgate East",.00,,5.10,""
16-Mar-2015,07:14,08:13,"Richmond to Canary Wharf [London Underground]",.00,,5.10,""
16-Mar-2015,07:14,,"Season ticket bought",.00,,5.10,""
