
Date,Start Time,End Time,Journey/Action,Charge,Credit,Balance,Note
14-Mar-2015,21:53,22:38,"North Greenwich to Richmond",.00,,5.10,""
14-Mar-2015,19:31,19:50,"Waterloo [London Underground / National Rail] to North Greenwich",.00,,5.10,""
14-Mar-2015,15:56,16:21,"Richmond to Waterloo (platforms 12-19) [National Rail]",.00,,5.10,""
12-Mar-2015,17:11,17:54,"Canary Wharf [London Underground] to Richmond",.00,,5.10,""
12-Mar-2015,07:17,08:08,"Richmond to Canary Wharf [London Underground]",.00,,5.10,""
11-Mar-2015,17:45,18:38,"Canary Wharf [London Underground] to Richmond",.00,,5.10,""
11-Mar-2015,09:08,09:55,"Richmond to Canary Wharf [London Underground]",.00,,5.10,""
10-Mar-2015,17:39,18:23,"Canary Wharf [London Underground] to Richmond",.00,,5.10,""
10-Mar-2015,07:13,08:14,"Richmond to Canary Wharf [London Underground]",.00,,5.10,""
09-Mar-2015,17:27,18:08,"Canary Wharf [London Underground] to Richmond",.00,,5.10,""
09-Mar-2015,11:50,12:20,"Warren Street to Canary Wharf [London Underground]",.00,,5.10,""
09-Mar-2015,10:34,10:58,"Canary Wharf [London Underground] to Warren Street",.00,,5.10,""
09-Mar-2015,07:11,08:06,"Richmond to Canary Wharf [London Underground]",.00,,5.10,""
09-Mar-2015,07:11,,"Season ticket bought",.00,,5.10,""
