
Date,Start Time,End Time,Journey/Action,Charge,Credit,Balance,Note
11-Jul-2015,10:08,10:37,"Kensington Olympia to Richmond",.00,,6.30,""
11-Jul-2015,09:08,09:41,"Richmond to Kensington Olympia",.00,,6.30,""
08-Jul-2015,20:11,,"Waterloo (platforms 12-19) [National Rail] to [No touch-out]",.00,,6.30,"We are not able to show where you touched out during this journey"
08-Jul-2015,07:52,08:33,"Richmond to Waterloo (platforms 12-19) [National Rail]",.00,,6.30,""
07-Jul-2015,17:02,17:57,"Aldgate East to Richmond",.00,,6.30,""
07-Jul-2015,07:09,08:11,"Richmond to Aldgate East",.00,,6.30,""
06-Jul-2015,17:05,18:05,"Aldgate East to Richmond",.00,,6.30,""
06-Jul-2015,07:12,08:22,"Richmond to Aldgate East",.00,,6.30,""
06-Jul-2015,07:12,,"Season ticket bought",.00,,6.30,""
