
Date,Start Time,End Time,Journey/Action,Charge,Credit,Balance,Note
16-Sep-2015,12:12,13:28,"Whitechapel to Heathrow Terminal 5 [London Underground]",3.10,,8.90,""
16-Sep-2015,11:34,11:42,"Tower Hill to Whitechapel",2.30,,12.00,""
16-Sep-2015,08:16,08:23,"Whitechapel to Tower Hill",2.30,,14.30,""
16-Sep-2015,08:16,,"Topped up, Whitechapel",,15.00,16.60,""
15-Sep-2015,21:05,21:21,"Tower Hill to Whitechapel",2.30,,1.60,""
15-Sep-2015,09:14,09:21,"Whitechapel to Tower Hill",2.30,,3.90,""
14-Sep-2015,17:15,18:20,"Richmond to Whitechapel",3.90,,6.20,""
