
Date,Start Time,End Time,Journey/Action,Charge,Credit,Balance,Note
12-Dec-2015,15:54,16:18,"Waterloo (platforms 12-19) [National Rail] to Richmond",.00,,2.90,""
12-Dec-2015,13:57,14:18,"Shepherd's Bush (Central line) to Waterloo (Jubilee line entrance)",.00,,2.90,""
12-Dec-2015,12:03,12:45,"Richmond to Shepherd's Bush [London Overground]",.00,,2.90,""
11-Dec-2015,13:47,14:18,"South Kensington to Richmond",.00,,2.90,""
11-Dec-2015,10:00,10:28,"Richmond to South Kensington",.00,,2.90,""
10-Dec-2015,19:37,20:21,"South Kensington to Richmond",.00,,2.90,""
10-Dec-2015,09:57,10:39,"Richmond to South Kensington",.00,,2.90,""
09-Dec-2015,13:50,14:23,"South Kensington to Richmond",.00,,2.90,""
09-Dec-2015,10:25,10:59,"Richmond to South Kensington",.00,,2.90,""
08-Dec-2015,19:53,20:24,"South Kensington to Richmond",.00,,2.90,""
08-Dec-2015,12:29,13:33,"Richmond to South Kensington",.00,,2.90,""
08-Dec-2015,12:29,,"Season ticket bought",.00,,2.90,""
