
Date,Start Time,End Time,Journey/Action,Charge,Credit,Balance,Note
20-Feb-2015,21:52,22:17,"Waterloo (platforms 12-19) [National Rail] to Richmond",.00,,5.10,""
20-Feb-2015,17:33,17:48,"Canary Wharf [London Underground] to Waterloo [London Underground / National Rail]",.00,,5.10,""
20-Feb-2015,07:15,08:06,"Richmond to Canary Wharf [London Underground]",.00,,5.10,""
19-Feb-2015,17:07,17:49,"Canary Wharf [London Underground] to Richmond",.00,,5.10,""
19-Feb-2015,07:15,08:02,"Richmond to Canary Wharf [London Underground]",.00,,5.10,""
18-Feb-2015,17:49,18:38,"Canary Wharf [London Underground] to Richmond",.00,,5.10,""
18-Feb-2015,07:14,08:02,"Richmond to Canary Wharf [London Underground]",.00,,5.10,""
17-Feb-2015,17:16,17:55,"Canary Wharf [London Underground] to Richmond",.00,,5.10,""
17-Feb-2015,07:12,08:06,"Richmond to Canary Wharf [London Underground]",.00,,5.10,""
16-Feb-2015,,18:38,"[No touch-in] to Richmond",.00,,5.10,"We are not able to show where you touched in during this journey"
16-Feb-2015,17:52,18:07,"Canary Wharf [London Underground] to Waterloo [London Underground / National Rail]",.00,,5.10,""
16-Feb-2015,07:10,08:08,"Richmond to Canary Wharf [London Underground]",.00,,5.10,""
16-Feb-2015,07:09,,"Season ticket bought",.00,,5.10,""
