
Date,Start Time,End Time,Journey/Action,Charge,Credit,Balance,Note
12-Feb-2016,16:30,16:54,"South Kensington to Kings Cross [London Underground / National Rail]",2.40,,1.30,""
12-Feb-2016,07:52,08:23,"Chiswick Park to South Kensington",3.30,,3.70,""
12-Feb-2016,07:25,07:46,"Richmond to Gunnersbury",1.70,,7.00,""
11-Feb-2016,13:29,14:02,"South Kensington to Richmond",2.80,,8.70,""
11-Feb-2016,09:33,10:07,"Richmond to South Kensington",2.80,,11.50,""
10-Feb-2016,15:21,15:52,"South Kensington to Richmond",2.80,,14.30,""
10-Feb-2016,08:20,09:01,"Richmond to South Kensington",3.90,,17.10,""
10-Feb-2016,08:19,,"Topped up,  ",,20.00,21.00,""
09-Feb-2016,20:12,20:41,"South Kensington to Richmond",2.80,,1.00,""
09-Feb-2016,08:23,08:59,"Richmond to South Kensington",3.90,,3.80,""
08-Feb-2016,20:29,21:04,"South Kensington to Richmond",2.80,,7.70,""
08-Feb-2016,14:33,15:00,"Richmond to South Kensington",2.80,,10.50,""
