
Date,Start Time,End Time,Journey/Action,Charge,Credit,Balance,Note
17-Jan-2015,16:50,17:29,"Waterloo (platforms 12-19) [National Rail] to Richmond",.00,,6.60,""
17-Jan-2015,12:53,13:39,"Richmond to Green Park",.00,,6.60,""
16-Jan-2015,21:18,21:42,"Earls Court to Richmond",.00,,6.60,""
16-Jan-2015,19:03,19:35,"Canary Wharf [London Underground] to High Street Kensington",.00,,6.60,""
16-Jan-2015,07:20,08:11,"Richmond to Canary Wharf [London Underground]",.00,,6.60,""
15-Jan-2015,17:45,18:45,"Canary Wharf [London Underground] to Richmond",.00,,6.60,""
15-Jan-2015,07:22,08:10,"Richmond to Canary Wharf [London Underground]",.00,,6.60,""
14-Jan-2015,17:37,18:23,"Canary Wharf [London Underground] to Richmond",.00,,6.60,""
14-Jan-2015,07:17,08:11,"Richmond to Canary Wharf [London Underground]",.00,,6.60,""
13-Jan-2015,17:48,19:02,"Canary Wharf [London Underground] to Richmond",.00,,6.60,""
13-Jan-2015,07:23,08:06,"Richmond to Canary Wharf [London Underground]",.00,,6.60,""
12-Jan-2015,17:31,18:07,"Canary Wharf [London Underground] to Richmond",.00,,6.60,""
12-Jan-2015,07:20,08:05,"Richmond to Canary Wharf [London Underground]",.00,,6.60,""
12-Jan-2015,07:20,,"Season ticket bought",.00,,6.60,""
