
Date,Start Time,End Time,Journey/Action,Charge,Credit,Balance,Note
26-Sep-2015,17:14,17:44,"South Kensington to Richmond",2.80,,11.10,""
26-Sep-2015,13:58,14:25,"Richmond to South Kensington",2.80,,13.90,""
25-Sep-2015,10:53,11:38,"Tottenham Court Road to Richmond",4.20,,16.70,""
25-Sep-2015,10:12,10:37,"Whitechapel to Holborn",2.30,,20.90,""
25-Sep-2015,10:11,,"Topped up, Whitechapel",,20.00,23.20,""
24-Sep-2015,16:49,17:17,"Kings Cross (Met, Circle, H&C lines) to Whitechapel",2.90,,3.20,""
24-Sep-2015,15:08,15:55,"Richmond to Kings Cross (Piccadilly, Victoria lines)",2.80,,6.10,""
