
Date,Start Time,End Time,Journey/Action,Charge,Credit,Balance,Note
25-Jul-2015,15:18,15:47,"Kensington Olympia to Richmond",.00,,6.30,""
25-Jul-2015,13:22,13:56,"Richmond to Kensington Olympia",.00,,6.30,""
24-Jul-2015,19:56,20:48,"Leicester Square to Richmond",.00,,6.30,""
24-Jul-2015,16:15,16:55,"Richmond to Warren Street",.00,,6.30,""
23-Jul-2015,17:04,18:02,"Aldgate East to Richmond",.00,,6.30,""
23-Jul-2015,07:35,08:43,"Richmond to Aldgate East",.00,,6.30,""
22-Jul-2015,20:52,21:18,"Waterloo (platforms 12-19) [National Rail] to Richmond",.00,,6.30,""
22-Jul-2015,17:00,17:15,"Aldgate East to Embankment",.00,,6.30,""
22-Jul-2015,07:32,08:41,"Richmond to Aldgate East",.00,,6.30,""
21-Jul-2015,19:54,,"Bus journey, route 33",.00,,6.30,""
21-Jul-2015,18:42,18:57,"Richmond to Barnes [National Rail]",.00,,6.30,""
21-Jul-2015,15:16,15:59,"Euston [London Underground] to Richmond",.00,,6.30,""
21-Jul-2015,06:40,07:19,"Richmond to Euston [London Underground]",.00,,6.30,""
20-Jul-2015,17:15,18:14,"Aldgate East to Richmond",.00,,6.30,""
20-Jul-2015,07:11,08:20,"Richmond to Aldgate East",.00,,6.30,""
20-Jul-2015,07:11,,"Season ticket bought",.00,,6.30,""
