
Date,Start Time,End Time,Journey/Action,Charge,Credit,Balance,Note
09-Oct-2015,19:34,20:21,"South Kensington to Richmond",.00,,3.90,""
09-Oct-2015,12:44,13:06,"St Paul's to South Kensington",.00,,3.90,""
09-Oct-2015,11:09,11:34,"South Kensington to St Paul's",.00,,3.90,""
09-Oct-2015,08:13,08:42,"Whitechapel to South Kensington",.00,,3.90,""
08-Oct-2015,17:06,17:38,"South Kensington to Whitechapel",.00,,3.90,""
08-Oct-2015,08:42,09:17,"Richmond to South Kensington",.00,,3.90,""
07-Oct-2015,19:52,20:22,"South Kensington to Richmond",.00,,3.90,""
07-Oct-2015,08:32,09:15,"Richmond to South Kensington",.00,,3.90,""
06-Oct-2015,15:50,16:23,"South Kensington to Richmond",.00,,3.90,""
06-Oct-2015,08:34,09:08,"Richmond to South Kensington",.00,,3.90,""
05-Oct-2015,15:29,16:14,"Green Park to Richmond",.00,,3.90,""
05-Oct-2015,14:08,14:23,"South Kensington to Green Park",.00,,3.90,""
05-Oct-2015,08:20,08:55,"Richmond to South Kensington",.00,,3.90,""
05-Oct-2015,08:20,,"Season ticket bought",.00,,3.90,""
05-Oct-2015,08:19,,"Topped up,  ",,5.00,3.90,""
