
Date,Start Time,End Time,Journey/Action,Charge,Credit,Balance,Note
29-Mar-2015,18:28,19:11,"Waterloo (platforms 12-19) [National Rail] to Richmond",.00,,5.10,""
29-Mar-2015,18:14,18:28,"London Bridge [London Underground] to Waterloo (platforms 12-19) [National Rail]",.00,,5.10,""
29-Mar-2015,12:14,13:30,"Richmond to Tower Hill",.00,,5.10,""
28-Mar-2015,21:01,,"Bus journey, route 490",.00,,5.10,""
27-Mar-2015,17:54,18:23,"Bank to Richmond",.00,,5.10,""
27-Mar-2015,07:13,08:19,"Richmond to Aldgate East",.00,,5.10,""
26-Mar-2015,17:05,18:02,"Aldgate East to Richmond",.00,,5.10,""
26-Mar-2015,07:16,08:21,"Richmond to Aldgate East",.00,,5.10,""
25-Mar-2015,17:50,18:43,"Aldgate East to Richmond",.00,,5.10,""
25-Mar-2015,07:09,08:19,"Richmond to Aldgate East",.00,,5.10,""
24-Mar-2015,18:30,19:21,"Aldgate East to Richmond",.00,,5.10,""
24-Mar-2015,07:58,09:02,"Richmond to Aldgate East",.00,,5.10,""
23-Mar-2015,19:27,20:21,"Aldgate East to Richmond",.00,,5.10,""
23-Mar-2015,07:13,08:19,"Richmond to Aldgate East",.00,,5.10,""
23-Mar-2015,07:13,,"Season ticket bought",.00,,5.10,""
