"station","long","lat"
"Hackbridge",-0.1539,51.3778
"Hackney Central",-0.0559,51.547
"Hackney Downs",-0.0601,51.5483
"Hackney Wick",-0.0249,51.5432
"Hadley Wood",-0.1761,51.6688
"Haggerston",-0.0736,51.5381
"Hammersmith",-0.22583,51.49444
"Hampstead Heath",-0.1654,51.5553
"Hampton Court",-0.3425,51.4028
"Hampton Wick",-0.3107,51.4141
"Hampton",-0.3717,51.4159
"Hanwell",-0.3389,51.5116
"Harlesden",-0.2581,51.5363
"Harold Wood",0.2343,51.5928
"Harringay Green Lanes",-0.0977,51.5774
"Harringay",-0.1052,51.577
"Harrow & Wealdstone",-0.3347,51.5921
"Harrow-on-the-Hill",-0.337,51.5794
"Hatch End",-0.3681,51.6095
"Haydons Road",-0.188,51.4255
"Hayes",0.0102,51.3765
"Hayes & Harlington",-0.4203,51.5031
"Headstone Lane",-0.3564,51.6024
"Heathrow Central",-0.454,51.471
"Heathrow Terminal 4",-0.445,51.458
"Heathrow Terminal 5",-0.488,51.4723
"Hendon",-0.2389,51.58
"Herne Hill",-0.1021,51.4533
"High Street Kensington",-0.1925,51.5008
"Highams Park",-1e-04,51.6084
"Highbury & Islington",-0.105,51.5458
"Hillingdon",-0.45,51.5538
"Hither Green",-8e-04,51.4519
"Homerton",-0.0431,51.547
"Honor Oak Park",-0.0456,51.4501
"Hornsey",-0.1116,51.5862
"Hounslow",-0.3622,51.462
"Hoxton",-0.0754,51.5318
"Ickenham",-0.4419,51.5619
"Ilford",0.07,51.5592
"Imperial Wharf",-0.1828,51.4751
"Isleworth",-0.337,51.4749
"Kenley",-0.1007,51.3246
"Kensal Green",-0.2243,51.5306
"Kensal Rise",-0.2204,51.5345
"Kensington",-0.211,51.4985
"Kent House",-0.0453,51.4123
"Kentish Town",-0.1396,51.5505
"Kentish Town West",-0.1468,51.5468
"Kenton",-0.3167,51.5818
"Kew Bridge",-0.2878,51.4895
"Kew Gardens",-0.2849,51.4772
"Kidbrooke",0.0273,51.4621
"Kilburn High Road",-0.1925,51.5373
"Kilburn Park",-0.194063,51.535124
"Kilburn",-0.2047,51.5472
"Kings Cross",-0.1241,51.5302
"Kingsbury",-0.2786,51.5847
"Kingston",-0.3019,51.4129
"Kingswood",-0.211,51.295
"Knockholt",0.1307,51.3459
"Ladbroke Grove",-0.2106,51.5172
"Ladywell",-0.0192,51.4562
"Lambeth North",-0.1118,51.499
"Latimer Road",-0.217,51.514
"Lee",0.0128,51.4497
"Lewisham",-0.0141,51.4658
"Leyton Midland Road",-0.0072,51.5693
"Leytonstone High Road",0.0073,51.5634
"Limehouse",-0.0402,51.5126
"Liverpool Street",-0.0813,51.5186
"Liverpool StreetLondon",-0.0819,51.5185
"London Bridge",-0.086,51.505
"London BridgeLondon",-0.0851,51.5053
"London City Airport",0.048889,51.503611
"London Fields",-0.0577,51.5407
"London Paddington",-0.1774,51.5173
"London Victoria",-0.1448,51.4966
"London Waterloo",-0.1132,51.5031
"Lord's",-0.16917,51.53
"Loughborough Junction",-0.102,51.4661
"Lower Sydenham",-0.0336,51.4245
"Maida Vale",-0.185565,51.529785
"Malden Manor",-0.2618,51.3847
"Manor Park",0.0463,51.5526
"Mansion House",-0.0941,51.5122
"Marlborough Road",-0.17667,51.53611
"Maryland",0.0059,51.546
"Marylebone",-0.1634,51.5223
"MaryleboneLondon",-0.163,51.5231
"Maze Hill",0.0032,51.483
"Mile End",-0.033,51.525
"Mill Hill Broadway",-0.2491,51.6128
"Mitcham Eastfields",-0.1547,51.4077
"Mitcham Junction",-0.1576,51.393
"Moor Park",-0.431,51.63
"Moorgate",-0.0886,51.5186
"MoorgateLondon",-0.0896,51.5187
"Morden South",-0.199,51.3965
