
Date,Start Time,End Time,Journey/Action,Charge,Credit,Balance,Note
20-Feb-2016,15:58,16:40,"Liverpool Street [London Underground] to Richmond",4.30,,11.30,""
19-Feb-2016,17:24,18:21,"Richmond to Aldgate East",2.80,,15.60,""
19-Feb-2016,14:09,14:42,"South Kensington to Richmond",2.80,,18.40,""
19-Feb-2016,08:26,,"Topped up, South Kensington",,20.00,21.20,""
17-Feb-2016,17:36,18:13,"South Kensington to Richmond",3.90,,1.20,""
17-Feb-2016,09:17,09:45,"Richmond to South Kensington",3.90,,5.10,""
16-Feb-2016,20:02,20:38,"South Kensington to Richmond",2.80,,9.00,""
16-Feb-2016,11:24,11:49,"Richmond to South Kensington",2.80,,11.80,""
15-Feb-2016,20:31,21:03,"South Kensington to Richmond",2.80,,14.60,""
15-Feb-2016,08:01,08:43,"Richmond to South Kensington",3.90,,17.40,""
15-Feb-2016,08:01,,"Topped up,  ",,20.00,21.30,""
