
Date,Start Time,End Time,Journey/Action,Charge,Credit,Balance,Note
02-May-2015,15:46,16:51,"Cutty Sark DLR to Richmond",.00,,14.00,""
02-May-2015,11:30,,"Bus journey, route 422",.00,,14.00,""
02-May-2015,10:42,11:24,"Richmond to North Greenwich",.00,,14.00,""
01-May-2015,21:52,22:29,"Leicester Square to Richmond",.00,,14.00,""
01-May-2015,17:20,17:44,"Aldgate East to Goodge Street",.00,,14.00,""
01-May-2015,07:32,08:38,"Richmond to Aldgate East",.00,,14.00,""
30-Apr-2015,17:34,18:26,"Aldgate East to Richmond",.00,,14.00,""
30-Apr-2015,07:29,08:43,"Richmond to Aldgate East",.00,,14.00,""
29-Apr-2015,17:40,18:41,"Aldgate East to Richmond",.00,,14.00,""
29-Apr-2015,10:38,10:53,"Canary Wharf [London Underground] to Aldgate East",.00,,14.00,""
29-Apr-2015,07:03,08:10,"Richmond to Canary Wharf [London Underground]",.00,,14.00,""
28-Apr-2015,18:33,19:32,"Aldgate East to Richmond",.00,,14.00,""
28-Apr-2015,07:23,08:20,"Richmond to Aldgate East",.00,,14.00,""
27-Apr-2015,17:45,18:56,"Aldgate East to Richmond",.00,,14.00,""
27-Apr-2015,07:12,08:22,"Richmond to Aldgate East",.00,,14.00,""
27-Apr-2015,07:11,,"Season ticket bought",.00,,14.00,""
