
Date,Start Time,End Time,Journey/Action,Charge,Credit,Balance,Note
17-Jan-2016,10:21,11:23,"Stepney Green to Richmond",2.80,,16.20,""
16-Jan-2016,20:28,20:44,"Embankment to Aldgate East",2.40,,19.00,""
16-Jan-2016,12:24,12:40,"Bethnal Green [London Underground] to Oxford Circus",2.40,,21.40,""
16-Jan-2016,12:24,,"Topped up, Bethnal Green [London Underground]",,20.00,23.80,""
15-Jan-2016,18:40,19:08,"South Kensington to Whitechapel",2.90,,3.80,""
15-Jan-2016,12:30,12:57,"Richmond to South Kensington",2.80,,6.70,""
13-Jan-2016,16:49,17:23,"South Kensington to Richmond",3.90,,9.50,""
13-Jan-2016,12:27,12:57,"Richmond to South Kensington",2.80,,13.40,""
11-Jan-2016,16:49,17:32,"South Kensington to Richmond",3.90,,16.20,""
11-Jan-2016,12:49,13:18,"Richmond to South Kensington",2.80,,20.10,""
11-Jan-2016,12:49,,"Topped up,  ",,20.00,22.90,""
