
Date,Start Time,End Time,Journey/Action,Charge,Credit,Balance,Note
05-Jul-2015,14:47,15:40,"Blackheath [National Rail] to Richmond",.00,,6.30,""
05-Jul-2015,11:32,12:34,"Richmond to Blackheath [National Rail]",.00,,6.30,""
04-Jul-2015,19:18,20:11,"Seven Sisters to Richmond",.00,,6.30,""
04-Jul-2015,18:59,,"Bus journey, route 259",.00,,6.30,""
04-Jul-2015,13:25,,"Bus journey, route 259",.00,,6.30,""
04-Jul-2015,13:05,13:22,"Oxford Circus to Seven Sisters",.00,,6.30,""
04-Jul-2015,12:12,12:48,"Richmond to Oxford Circus",.00,,6.30,""
03-Jul-2015,22:43,23:08,"Waterloo (platforms 12-19) [National Rail] to Richmond",.00,,6.30,""
03-Jul-2015,21:45,21:58,"Aldgate East to Blackfriars [London Underground]",.00,,6.30,""
03-Jul-2015,18:52,19:14,"Embankment to Whitechapel",.00,,6.30,""
03-Jul-2015,17:14,17:30,"Aldgate East to Embankment",.00,,6.30,""
03-Jul-2015,10:51,11:42,"Richmond to Aldgate East",.00,,6.30,""
02-Jul-2015,17:10,18:09,"Aldgate East to Richmond",.00,,6.30,""
02-Jul-2015,07:31,08:41,"Richmond to Aldgate East",.00,,6.30,""
01-Jul-2015,16:29,17:29,"Aldgate East to Richmond",.00,,6.30,""
01-Jul-2015,07:16,08:23,"Richmond to Aldgate East",.00,,6.30,""
30-Jun-2015,15:56,17:02,"Aldgate East to Richmond",.00,,6.30,""
30-Jun-2015,11:18,11:35,"Canary Wharf [London Underground] to Aldgate East",.00,,6.30,""
30-Jun-2015,08:04,08:26,"Aldgate East to Canary Wharf [London Underground]",.00,,6.30,""
30-Jun-2015,06:53,07:59,"Richmond to Aldgate East",.00,,6.30,""
29-Jun-2015,21:19,21:50,"Bank to Richmond",.00,,6.30,""
29-Jun-2015,07:13,08:22,"Richmond to Aldgate East",.00,,6.30,""
29-Jun-2015,07:12,,"Season ticket bought",.00,,6.30,""
