"station"	"long"	"lat"
"63"	"Canary Wharf"	-0.01861	51.50361
"64"	"Canning Town"	0.0083	51.514
"65"	"Cannon Street"	-0.0907	51.5104
"66"	"Cannon StreetLondon"	-0.0912	51.5101
"67"	"Canonbury"	-0.0925	51.5482
"68"	"Canons Park"	-0.2947	51.6078
"69"	"Carpenders Park"	-0.386	51.629
"70"	"Carshalton"	-0.1659	51.3686
"71"	"Carshalton Beeches"	-0.1714	51.3577
"72"	"Cassiobridge"	-0.424283	51.650993
"73"	"Castle Bar Park"	-0.3323	51.5228
"74"	"Caterham"	-0.0783	51.28214
"75"	"Catford"	-0.0261	51.4447
"76"	"Catford Bridge"	-0.025	51.4446
"77"	"Chadwell Heath"	0.1292	51.5678
"78"	"Chafford Hundred"	0.2876	51.4859
"79"	"Chalfont & Latimer"	-0.561	51.6679
"80"	"Charing Cross"	-0.125	51.508
"81"	"Charing CrossLondon"	-0.1231	51.5075
"82"	"Charlton"	0.031	51.4868
"83"	"Cheam"	-0.2147	51.356
"84"	"Chelsfield"	0.1076	51.3565
"85"	"Chesham"	-0.6113	51.7052
"86"	"Cheshunt"	-0.0221	51.7039
"87"	"Chessington North"	-0.3005	51.3642
"88"	"Chessington South"	-0.308	51.3569
"89"	"Chingford"	0.0094	51.6331
"90"	"Chipstead"	-0.1693	51.3093
"91"	"Chislehurst"	0.0573	51.4057
"92"	"Chiswick"	-0.2683	51.4813
"93"	"Chorleywood"	-0.5183	51.6541
"94"	"City Thameslink"	-0.1037	51.5163
"95"	"City ThameslinkLondon"	-0.1037	51.5163
"96"	"Clapham High Street"	-0.1328	51.4658
"97"	"Clapham Junction"	-0.1703	51.4644
"98"	"Clapton"	-0.0571	51.5617
"99"	"Clock House"	-0.0411	51.4088
"100"	"Coulsdon South"	-0.138	51.3157
"101"	"Coulsdon Town"	-0.134	51.3219
"102"	"Crayford"	0.1786	51.4483
"103"	"Crews Hill"	-0.1072	51.6845
"104"	"Cricklewood"	-0.2129	51.5586
"105"	"Crofton Park"	-0.0367	51.455
"106"	"Crouch Hill"	-0.1171	51.572
"107"	"Croxley"	-0.4413	51.6475
"108"	"Crystal Palace"	-0.0726	51.4182
"109"	"Dagenham Dock"	0.145	51.5268
"110"	"Dalston Junction"	-0.0747	51.5453
"111"	"Dalston Kingsland"	-0.0763	51.5482
"112"	"Dartford"	0.2193	51.4475
"113"	"Denmark Hill"	-0.0894	51.4683
"114"	"Deptford"	-0.0265	51.4788
"115"	"Dollis Hill"	-0.2386	51.5519
"116"	"Drayton Green"	-0.33	51.5165
"117"	"Drayton Park"	-0.1055	51.5528
"118"	"Ealing Broadway"	-0.3017	51.5147
"119"	"Earlsfield"	-0.1877	51.4424
"120"	"East Croydon"	-0.0923	51.3752
"121"	"East Dulwich"	-0.0804	51.4616
"122"	"East Ham"	0.0516	51.539
"123"	"Eastcote"	-0.3969	51.5767
"124"	"Eden Park"	-0.0262	51.39
"125"	"Edgware Road"	-0.170278	51.520278
"126"	"Edmonton Green"	-0.0614	51.6242
"127"	"Elephant & Castle"	-0.0997	51.4944
"128"	"Elmers End"	-0.0496	51.3981
"129"	"Elmstead Woods"	0.0441	51.4168
"130"	"Elstree & Borehamwood"	-0.2802	51.6531
"131"	"Eltham"	0.0515	51.4555
"132"	"Embankment"	-0.122	51.507
"133"	"Emerson Park"	0.2204	51.5687
"134"	"Enfield Chase"	-0.0908	51.6529
"135"	"Enfield Lock"	-0.0284	51.6709
"136"	"Enfield Town"	-0.0792	51.6516
"137"	"Epsom Downs"	-0.2389	51.3237
"138"	"Erith"	0.1754	51.4816
"139"	"Essex Road"	-0.0963	51.5406
"140"	"Euston Square"	-0.1358	51.5258
"141"	"Euston"	-0.1331	51.5284
"142"	"EustonLondon"	-0.1345	51.5287
"143"	"Ewell East"	-0.2419	51.3451
"144"	"Ewell West"	-0.2569	51.3502
"145"	"Falconwood"	0.0799	51.4592
"146"	"Farringdon"	-0.1053	51.5206
"147"	"Feltham"	-0.4088	51.4481
"148"	"Fenchurch Street"	-0.07881	51.51167
"149"	"Fenchurch StreetLondon"	-0.0783	51.5114
"150"	"Finchley Road & Frognal"	-0.1837	51.5499
"151"	"Finchley Road"	-0.18027	51.5472
"152"	"Finsbury Park"	-0.106366	51.564653
"153"	"Forest Gate"	0.0242	51.5494
"154"	"Forest Hill"	-0.0533	51.4393
"155"	"Fulwell"	-0.3508	51.4334
"156"	"Gidea Park"	0.2063	51.582
"157"	"Gipsy Hill"	-0.084	51.4246
"158"	"Gloucester Road"	-0.183	51.4947
"159"	"Goldhawk Road"	-0.227	51.502
"160"	"Goodmayes"	0.1109	51.5655
"161"	"Gordon Hill"	-0.0943	51.6632
"162"	"Gospel Oak"	-0.1514	51.5552
"163"	"Granborough Road"	-0.9176	51.9116
"164"	"Grange Park"	-0.0969	51.6431
"165"	"Grays"	0.322	51.476
"166"	"Great Missenden"	-0.709	51.704
"167"	"Great Portland Street"	-0.1438	51.5238
"168"	"Green Park"	-0.1428	51.5067
"169"	"Greenford"	-0.3463	51.5426
"170"	"Greenwich"	-0.0134	51.4782
"171"	"Grove Park"	0.0219	51.4306
"172"	"Gunnersbury"	-0.275	51.4918
"173"	"Hackbridge"	-0.1539	51.3778
"174"	"Hackney Central"	-0.0559	51.547
"175"	"Hackney Downs"	-0.0601	51.5483
"176"	"Hackney Wick"	-0.0249	51.5432
"177"	"Hadley Wood"	-0.1761	51.6688
"178"	"Haggerston"	-0.0736	51.5381
"179"	"Hammersmith"	-0.22583	51.49444
"180"	"Hampstead Heath"	-0.1654	51.5553
"181"	"Hampton Court"	-0.3425	51.4028
"182"	"Hampton Wick"	-0.3107	51.4141
"183"	"Hampton"	-0.3717	51.4159
"184"	"Hanwell"	-0.3389	51.5116
"185"	"Harlesden"	-0.2581	51.5363
"186"	"Harold Wood"	0.2343	51.5928
"187"	"Harringay Green Lanes"	-0.0977	51.5774
"188"	"Harringay"	-0.1052	51.577
"189"	"Harrow & Wealdstone"	-0.3347	51.5921
"190"	"Harrow-on-the-Hill"	-0.337	51.5794
"191"	"Hatch End"	-0.3681	51.6095
"192"	"Haydons Road"	-0.188	51.4255
"193"	"Hayes"	0.0102	51.3765
"194"	"Hayes & Harlington"	-0.4203	51.5031
"195"	"Headstone Lane"	-0.3564	51.6024
"196"	"Heathrow Central"	-0.454	51.471
"197"	"Heathrow Terminal 4"	-0.445	51.458
"198"	"Heathrow Terminal 5"	-0.488	51.4723
"199"	"Hendon"	-0.2389	51.58
"200"	"Herne Hill"	-0.1021	51.4533
"201"	"High Street Kensington"	-0.1925	51.5008
"202"	"Highams Park"	-1e-04	51.6084
"203"	"Highbury & Islington"	-0.105	51.5458
"204"	"Hillingdon"	-0.45	51.5538
"205"	"Hither Green"	-8e-04	51.4519
"206"	"Homerton"	-0.0431	51.547
"207"	"Honor Oak Park"	-0.0456	51.4501
"208"	"Hornsey"	-0.1116	51.5862
"209"	"Hounslow"	-0.3622	51.462
"210"	"Hoxton"	-0.0754	51.5318
"211"	"Ickenham"	-0.4419	51.5619
"212"	"Ilford"	0.07	51.5592
"213"	"Imperial Wharf"	-0.1828	51.4751
"214"	"Isleworth"	-0.337	51.4749
"215"	"Kenley"	-0.1007	51.3246
"216"	"Kensal Green"	-0.2243	51.5306
"217"	"Kensal Rise"	-0.2204	51.5345
"218"	"Kensington"	-0.211	51.4985
"219"	"Kent House"	-0.0453	51.4123
"220"	"Kentish Town"	-0.1396	51.5505
